Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
25708,"Opiates,Poppies - Opium",Preparation / Recipes,,Not Applicable,oral,,Male,My Concoction,Trippin Tom,Oct 14 2007,16531
24146,DXM,Retrospective / Summary,,Not Applicable,oral,,Male,3 Years of Insanity,StarKidKarl,Sep 29 2010,24556
22223,"Chlorpheniramine Maleate,DXM","Health Problems,Addiction & Habituation,Post Trip Problems",,Not Applicable,oral,,Not-Specified,Farewell to Feeling,Angelica Seraphina,Sep 22 2007,10933
22108,Calea zacatechichi,Glowing Experiences,Dreams,Alone,oral,,Male,"Forget Tea, Make Capsules",chaz-spain,Oct 20 2003,30918
16882,Mushrooms,"Health Benefits,Medical Use",Migraines,Not Applicable,oral,,Male,Psilocybin Abatement,Notseinfeld,Nov 8 2007,9017
13856,DXM,General,,Unknown Context,oral,,Male,The Power Of Grapefruit Juice!,DXMTRIPPER,May 7 2004,19354
12749,Amphetamines,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,oral,,Female,Can't Let Go,Highonlife?,Mar 27 2007,6577
12273,Dimenhydrinate,"Retrospective / Summary,Difficult Experiences",,Small Group (2-9),oral,,Male,Don't Laugh at Me!,kman,Apr 23 2003,15020
11982,DXM,Difficult Experiences,,Small Group (2-9),oral,,Female,Frankenstein's Ghost,Ellis Dee,May 14 2003,20988
11052,"Benzodiazepines,Pharms - Diazepam","Combinations,Retrospective / Summary,Addiction & Habituation",,Various,oral,,Male,Mother's Little Helper,RecoveryGuru,Mar 3 2007,22148
9850,"Pharmaceuticals,Pharms - Sertraline,SSRIs","General,Health Problems",,School,oral,,Male,Cranked Nosebleeds,The K-hole Kid,Aug 4 2004,66494
9815,Nutmeg,Retrospective / Summary,,Various,oral,,Male,Mixed With Sugar,Ride SIlence,Nov 1 2004,14712
26488,"Amphetamines,Pharms - Methylphenidate","Retrospective / Summary,Addiction & Habituation,Health Benefits,Families,Medical Use,Hangover / Days After,Relationships",,Not Applicable,oral,,Male,Life In The Fast Lane,Anonymous,Mar 7 2007,35178
26996,Pharms - Venlafaxine,"Medical Use,Depression",,Not Applicable,oral,,Male,"Less Depressed, More Disturbed",Puddletown Tom,Jul 12 2010,3676
44396,Cacti,Preparation / Recipes,,Unknown Context,oral,,Male,Easy Method for Consumption,Zae Dawg,Jan 23 2007,7197
43552,Amphetamines,Health Problems,,Not Applicable,oral,,Female,Itching Diminishes Positive Effects,Awake at Last,Dec 5 2007,8491
40971,Morning Glory,Preparation / Recipes,,Not Applicable,oral,,Male,Quasi-Traditional Extraction,Geo,Feb 25 2007,11111
40709,DXM,"General,Medical Use",Drug Testing,Not Applicable,oral,,Male,Everyone Assumes the Worst,Posterboy,Sep 23 2007,15402
