Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
1,"MDMA[method]oral[amount]0.5 tablets[form]pill / tablet,Stimulants",,,,,Medium,,An Unforgettable Ride!,Johnny Blaze,May 30 2000,72635
167,Mushrooms[method]oral[amount]3.0 g[form]dried,,,,,Medium,,The Circle of Thoughts Got More Profound,Setebos,Aug 15 2001,6726
169,"1,4-Butanediol,GBL,GHB",,,,,Medium,,GHB Withdrawl and the Dopamine Rebound,MMB1,Sep 10 2000,32003
170,Mandrake[method]oral[form]roots,,,,,Medium,,Subethereal,Drude-Gondwana,Sep 11 2000,17318
171,Amanitas[method]oral[amount]10 g[form]dried,,,,,Strong,,Amanita Madness,Blue,Sep 8 2000,16292
174,5-MeO-DiPT[method]oral[amount]100 mg[form]powder / crystals,,,,,Strong,,Eye of the Storm,Nutmeg,Jul 13 2000,16279
175,Salvia divinorum[method]smoked[amount]0.25 oz[form]extract - 5x,,,,,Medium,,Surrounded by Vines and Leaves,Jumanji,Aug 15 2001,7089
176,"Chlorpheniramine Maleate,DXM",,,,,Medium,,Bad Trip,Nikole M.B.,Sep 9 2000,45012
180,DXM[method]oral[amount]661 mg,,,,,Medium,,Beyond Words,Thgilenin,Aug 15 2001,20851
181,"MDMA[method]oral[amount]135 mg[form]capsule,Stimulants",,,,,Medium,,Eye of the Beholder,lady lazarus,Feb 14 2001,34329
185,,,,,,Extreme,,,,,
186,Salvia divinorum[method]smoked[amount]2 hits[form]extract - 5x,,,,,Strong,,Discovering A New Life,Josh V.,Aug 7 2001,14148
188,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,"When Its There, But Not Completely",SSY,Feb 15 2001,8434
192,MDA[method]oral[amount]3 tablets[form]pill / tablet,,,,,Medium,,Snowballs,Dr Dempsey,Sep 11 2000,22132
194,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,My Encounter with Calvin Klein,Suzy,Oct 10 2000,9950
196,H.B. Woodrose[method]oral[amount]6 seeds[form]seeds,,,,,Medium,,A First Approach with Not So Good Timing,Opul,Sep 10 2000,14472
205,Valerian[method]oral[amount]1070 mg[form]capsule,,,,,Light,,Eased My Withdrawals,Lynx1313rmp,Oct 14 2000,28005
211,"Ketamine[method]insufflated[form]powder / crystals,NMDA Antagonists",,,,,Medium,,My K-Hole Experiences,jenn0CIDE,Jun 10 2000,26271
212,5-MeO-DiPT[method]oral[amount]25 mg[form]powder / crystals,,,,,Medium,,Visuals from 5-MeO-DiPT,Jesus J.,Oct 22 2000,3760
219,"DXM[method]oral[amount]8 oz[form]liquid,DXM[method]oral[amount]8 oz[form]liquid",,,,,Strong,,The Other Side,Robo Users,Aug 16 2001,10168
221,Mushrooms[method]oral[amount]3 cups[form]tea,,,,,Medium,,The Right Amount of Mushrooms,Arlington Shroom Man,Aug 16 2001,18152
222,5-MeO-DiPT[method]oral[amount]16 mg[form]capsule,,,,,Medium,,"Complete, Slightly Incorrect Harmony",Triode,Oct 11 2000,17256
224,Catnip[method]smoked[form]fresh,,,,,Light,,Not Worth It,Fumis,Jul 16 2000,43980
225,"MDMA[method]oral[amount]160 mg[form]powder / crystals,Nitrous Oxide[method]inhaled[form]gas,Stimulants",,,,,Medium,,"If I Told You, You Wouldn't Believe Me",Robbie,Aug 18 2001,11641
229,Salvia divinorum[method]smoked[amount]2 bowls[form]extract - 10x,,,,,Medium,,The Music Was So Beautiful,Teri,Aug 19 2001,8318
230,"Ketamine[method]insufflated[amount]2 lines[form]powder / crystals,LSD[amount]350 ug,NMDA Antagonists",,,,,Medium,,Out There,Shlompyboy,Aug 19 2001,10392
233,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,Part Of One Joint Conciousness,HappyHead,Aug 20 2001,6021
236,"Amphetamines[method]oral[amount]1 tablet[form]pill / tablet,MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,"Third Times A Charm, I Hope!!",Toni,Oct 27 2000,7457
239,"LSD[method]oral[amount]8 hits[form]liquid,Mushrooms[method]oral[amount]0.25 oz[form]plant material",,,,,Medium,,Phish Show Trip,Warp,Jun 10 2000,12425
240,Mushrooms[method]oral[amount]3.0 g[form]dried,,,,,Medium,,The Curiosity of Not Knowing,V. Herschoft,Sep 2 2001,7823
242,"Ketamine[method]insufflated[amount]200 mg[form]powder / crystals,NMDA Antagonists,Salvia divinorum[method]smoked[amount]0.75 g[form]leaves",,,,,Strong,,'God' Showed Me the Universe,Beanz,Jun 10 2000,7148
243,"Anadenanthera spp.,Harmala Alkaloids,Mushrooms[method]oral[amount]4.0 g[form]plant material,Syrian Rue[method]oral[amount]4.0 g[form]extract",,,,,Extreme,,Yopo Fuerte,Mriko,Aug 25 2001,30076
244,"Harmala Alkaloids[method]oral[amount]2.5 g[form]seeds,Mushrooms[method]oral[amount]4.0 g[form]dried",,,,,Strong,,"Love,Love,Love!",Mriko,Oct 5 2000,42966
245,Salvia divinorum[method]sublingual[amount]9 drops[form]extract - 5x,,,,,Medium,,Captain at the Helm,Dirk,Sep 2 2001,7438
246,Cocaine,,,,,Medium,,One Day I'll Give It Up,Anonymous,Oct 25 2000,13456
254,Cocaine[method]insufflated[amount]6 lines[form]powder / crystals,,,,,Medium,,Once Is Enough,Amber,Oct 25 2000,42264
256,Inhalants[method]inhaled[form]gas,,,,,Medium,,Getting off on Computer Duster,Dizzy,Sep 11 2000,34391
259,Cacti[method]oral[amount]65 g[form]plant material,,,,,Extreme,,T. peruvianus Account,Mr. Inapplicable,Jun 10 2000,98884
260,Cocaine[method]IV,,,,,Strong,,Railroad to Hell,Nikki,Jun 10 2000,44980
263,Inhalants[method]inhaled[form]gas,,,,,Medium,,Not Psychedelia,Dragonfli,Sep 10 2000,32964
264,Salvia divinorum[method]smoked,,,,,Medium,,Confusing and Frustrating,Mr. Heddy,Aug 25 2001,7698
269,Cocaine[method]IM[amount]0.25 g,,,,,Medium,,Injecting Cocaine,Snowdog26,Aug 26 2001,126182
273,"DXM[method]oral[amount]360 mg[form]liquid,DXM[method]oral[amount]360 mg[form]liquid",,,,,Strong,,DXM Fucked Me Up,The Baron,Oct 25 2000,12718
275,Wormwood,,,,,Medium,,Homemade Absinthe Really Works,datura,Sep 7 2000,9834
277,Diphenhydramine[method]oral[amount]250 mg[form]pill / tablet,,,,,Strong,,Diphenhydramine v. DXM,Hack Man,Sep 9 2000,41623
279,"Cocaine[form]powder / crystals,Methamphetamine[form]powder / crystals",,,,,Medium,,The Speed Lane,Dion,Jul 16 2000,18116
282,Amanitas[method]oral[amount]1[form]plant material,,,,,Light,,An Interesting Amanita Encounter,The Explorer,Sep 7 2000,12586
284,Morning Glory[method]oral[form]seeds,,,,,Medium,,Morning Glory Seeds for Dummies,Hal Loose & A. Ginn,Sep 25 2001,148385
288,DXM[method]oral[form]liquid,,,,,Light,,A Rather Unremarkable Experience,Hal Luce & A. Ginn,Aug 29 2001,3381
289,"Cannabis[method]smoked[form]dried,Cocaine,MDMA[method]oral[amount]0.5 tablets[form]pill / tablet,Stimulants",,,,,Medium,,Flying Under the Bridge,Synikal Boy,Sep 2 2001,41904
292,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,Removing the Need to Speak,A School Teacher,Oct 27 2000,34191
293,Datura[method]oral[amount]3 tsp[form]seeds,,,,,Strong,,Science Gone to Crap,The Celestial Flark,Oct 9 2000,4834
294,LSD[method]oral[amount]3 hits[form]blotter / tab,,,,,Strong,,Waking Up From Reality,Rebecca,Aug 20 2001,30445
296,"Codeine[method]oral[amount]3 tablets[form]pill / tablet,Opiates",,,,,Light,,Codeine Trip,Anonymous,Jul 16 2000,100104
297,GHB,,,,,Light,,Treatment for Depression?,VMH,Aug 19 2001,20144
300,Cocaine[method]insufflated[form]powder / crystals,,,,,Medium,,Nothingness,Tree,Aug 20 2001,26145
301,Mushrooms[method]oral[amount]1.0 g[form]cookie / food,,,,,Medium,,Connecting with Good,Sickboy,Oct 5 2000,5933
306,Datura[method]oral[amount]4.0 g[form]seeds,,,,,Strong,,Loss of Coordination Entirely,Lorax,Oct 10 2000,16495
